(100, 0.154)
(200, 0.174)
(300, 0.18)
(400, 0.166)
(500, 0.214)
(600, 0.158)
(700, 0.204)
(800, 0.19)
(900, 0.228)
(1000, 0.184)
(1100, 0.166)
(1200, 0.218)
(1300, 0.212)
(1400, 0.242)
(1500, 0.2)
(1600, 0.208)
(1700, 0.2)
(1800, 0.194)
(1900, 0.246)
(2000, 0.178)
(2100, 0.228)
(2200, 0.206)
(2300, 0.236)
(2400, 0.2)
(2500, 0.258)
(2600, 0.216)
(2700, 0.242)
(2800, 0.192)
(2900, 0.154)
(3000, 0.202)
(3100, 0.272)
(3200, 0.214)
(3300, 0.302)
(3400, 0.266)
(3500, 0.232)
(3600, 0.244)
(3700, 0.244)
(3800, 0.204)
(3900, 0.288)
(4000, 0.252)
(4100, 0.268)
(4200, 0.206)
(4300, 0.236)
(4400, 0.232)
(4500, 0.216)
(4600, 0.224)
(4700, 0.302)
(4800, 0.258)
(4900, 0.232)
(5000, 0.22)
(5100, 0.298)
(5200, 0.18)
(5300, 0.21)
(5400, 0.228)
(5500, 0.238)
(5600, 0.216)
(5700, 0.282)
(5800, 0.258)
(5900, 0.21)
(6000, 0.232)
(6100, 0.254)
(6200, 0.24)
(6300, 0.232)
(6400, 0.208)
(6500, 0.264)
(6600, 0.326)
(6700, 0.24)
(6800, 0.212)
(6900, 0.288)
(7000, 0.312)
(7100, 0.262)
(7200, 0.254)
(7300, 0.218)
(7400, 0.264)
(7500, 0.308)
(7600, 0.27)
(7700, 0.302)
(7800, 0.236)
(7900, 0.262)
(8000, 0.236)
(8100, 0.26)
(8200, 0.26)
(8300, 0.304)
(8400, 0.322)
(8500, 0.236)
(8600, 0.246)
(8700, 0.27)
(8800, 0.302)
(8900, 0.224)
(9000, 0.268)
(9100, 0.276)
(9200, 0.246)
(9300, 0.264)
(9400, 0.27)
(9500, 0.264)
(9600, 0.276)
(9700, 0.264)
(9800, 0.278)
(9900, 0.222)
(10000, 0.248)
(10100, 0.206)
(10200, 0.306)
(10300, 0.246)
(10400, 0.198)
(10500, 0.252)
(10600, 0.254)
(10700, 0.266)
(10800, 0.282)
(10900, 0.258)
(11000, 0.224)
(11100, 0.236)
(11200, 0.258)
(11300, 0.268)
(11400, 0.252)
(11500, 0.28)
(11600, 0.294)
(11700, 0.278)
(11800, 0.264)
(11900, 0.23)
(12000, 0.268)
(12100, 0.314)
(12200, 0.266)
(12300, 0.246)
(12400, 0.22)
(12500, 0.23)
(12600, 0.27)
(12700, 0.25)
(12800, 0.254)
(12900, 0.284)
(13000, 0.292)
(13100, 0.252)
(13200, 0.282)
(13300, 0.282)
(13400, 0.28)
(13500, 0.218)
(13600, 0.24)
(13700, 0.286)
(13800, 0.248)
(13900, 0.25)
(14000, 0.22)
(14100, 0.276)
(14200, 0.316)
(14300, 0.23)
(14400, 0.27)
(14500, 0.244)
(14600, 0.238)
(14700, 0.272)
(14800, 0.228)
(14900, 0.278)
(15000, 0.314)
(15100, 0.258)
(15200, 0.274)
(15300, 0.24)
(15400, 0.294)
(15500, 0.28)
(15600, 0.266)
(15700, 0.282)
(15800, 0.228)
(15900, 0.296)
(16000, 0.246)
(16100, 0.328)
(16200, 0.294)
(16300, 0.264)
(16400, 0.224)
