(100, 0.188)
(200, 0.2)
(300, 0.23)
(400, 0.224)
(500, 0.238)
(600, 0.236)
(700, 0.192)
(800, 0.22)
(900, 0.26)
(1000, 0.242)
(1100, 0.272)
(1200, 0.218)
(1300, 0.274)
(1400, 0.324)
(1500, 0.296)
(1600, 0.276)
(1700, 0.222)
(1800, 0.334)
(1900, 0.34)
(2000, 0.254)
(2100, 0.308)
(2200, 0.27)
(2300, 0.208)
(2400, 0.4)
(2500, 0.344)
(2600, 0.294)
(2700, 0.264)
(2800, 0.34)
(2900, 0.202)
(3000, 0.226)
(3100, 0.306)
(3200, 0.264)
(3300, 0.414)
(3400, 0.322)
(3500, 0.278)
(3600, 0.25)
(3700, 0.346)
(3800, 0.308)
(3900, 0.342)
(4000, 0.344)
(4100, 0.328)
(4200, 0.58)
(4300, 0.312)
(4400, 0.408)
(4500, 0.288)
(4600, 0.368)
(4700, 0.294)
(4800, 0.328)
(4900, 0.332)
(5000, 0.374)
(5100, 0.342)
(5200, 0.37)
(5300, 0.418)
(5400, 0.252)
(5500, 0.35)
(5600, 0.356)
(5700, 0.302)
(5800, 0.34)
(5900, 0.238)
(6000, 0.302)
(6100, 0.268)
(6200, 0.328)
(6300, 0.306)
(6400, 0.284)
(6500, 0.34)
(6600, 0.398)
(6700, 0.274)
(6800, 0.344)
(6900, 0.44)
(7000, 0.434)
(7100, 0.324)
(7200, 0.344)
(7300, 0.348)
(7400, 0.342)
(7500, 0.358)
(7600, 0.338)
(7700, 0.384)
(7800, 0.304)
(7900, 0.432)
(8000, 0.266)
(8100, 0.276)
(8200, 0.386)
(8300, 0.472)
(8400, 0.46)
(8500, 0.378)
(8600, 0.332)
(8700, 0.27)
(8800, 0.388)
(8900, 0.296)
(9000, 0.456)
(9100, 0.31)
(9200, 0.33)
(9300, 0.42)
(9400, 0.472)
(9500, 0.33)
(9600, 0.516)
(9700, 0.368)
(9800, 0.342)
(9900, 0.318)
(10000, 0.344)
(10100, 0.364)
(10200, 0.37)
(10300, 0.364)
(10400, 0.282)
(10500, 0.388)
(10600, 0.342)
(10700, 0.372)
(10800, 0.328)
(10900, 0.384)
(11000, 0.384)
(11100, 0.346)
(11200, 0.3)
(11300, 0.288)
(11400, 0.432)
(11500, 0.438)
(11600, 0.416)
(11700, 0.294)
(11800, 0.336)
(11900, 0.346)
(12000, 0.424)
(12100, 0.346)
(12200, 0.386)
(12300, 0.336)
(12400, 0.352)
(12500, 0.306)
(12600, 0.468)
(12700, 0.46)
(12800, 0.436)
(12900, 0.36)
(13000, 0.412)
(13100, 0.372)
(13200, 0.332)
(13300, 0.402)
(13400, 0.582)
(13500, 0.502)
(13600, 0.36)
(13700, 0.368)
(13800, 0.386)
(13900, 0.344)
(14000, 0.262)
(14100, 0.432)
(14200, 0.276)
(14300, 0.352)
(14400, 0.458)
(14500, 0.432)
(14600, 0.37)
(14700, 0.634)
(14800, 0.318)
(14900, 0.462)
(15000, 0.41)
(15100, 0.4)
(15200, 0.488)
(15300, 0.542)
(15400, 0.34)
(15500, 0.402)
(15600, 0.452)
(15700, 0.414)
(15800, 0.358)
(15900, 0.282)
